businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,salary,workYear
,珠海,珠海伊斯佳科技股份有限公司,伊斯佳,150-500人,2018/5/21 8:50,金湾区,本科,其他,[],全职,4113411,8k-12k,1-3年
,珠海,珠海达人网络科技有限公司,达人网络,50-150人,2018/5/23 9:21,香洲区,本科,游戏,"['游戏', '产品', '用户研究']",全职,4389906,6k-12k,不限
"['竹苑', '迎宾', '吉大']",珠海,珠海网博信息科技股份有限公司,网博科技,150-500人,2018/5/21 11:55,香洲区,本科,"移动互联网,招聘",[],全职,4352011,6k-10k,1-3年
"['新香洲', '安居园', '人民西路']",珠海,珠海市筑巢科技有限公司,筑巢科技,50-150人,2018/5/21 16:45,香洲区,本科,"移动互联网,电子商务","['金融', '算法', '大数据', '数据挖掘']",实习,4416887,2k-3k,应届毕业生
,珠海,北京金山软件有限公司,金山办公软件,2000人以上,2018/5/23 11:56,香洲区,本科,移动互联网,[],全职,4614265,15k-30k,3-5年
,济南,亚信科技（中国）有限公司,亚信,2000人以上,2018/5/4 9:20,槐荫区,本科,企业服务、移动互联网,[],全职,4073129,9k-18k,5-10年
,青岛,上海前隆信息科技有限公司,前隆科技,500-2000人,2018/5/23 9:55,崂山区,硕士,金融,[],全职,4097059,10k-15k,1-3年
"['海尔路', '中韩', '合肥路']",青岛,海尔集团,海尔集团,2000人以上,2018/5/2 10:45,崂山区,本科,"移动互联网,电子商务",[],全职,4102252,8k-15k,1-3年
,泉州,福建省中天地征信有限公司,中天地征信,50-150人,2018/5/15 10:28,丰泽区,本科,"移动互联网,数据服务",[],全职,4569927,8K-15K,3-5年
,天津,北京五八到家信息技术有限公司,58到家,2000人以上,2018/5/18 15:58,南开区,大专,"O2O,生活服务",[],全职,4456484,4k-8k,1-3年
,天津,天津青芒网络科技有限公司,青芒数据,50-150人,2018/4/25 14:04,南开区,本科,"移动互联网,电子商务","['本地生活', '活动运营']",全职,4479842,4k-6k,1-3年
"['天拖地区', '南开大学', '白堤路']",天津,天津市艾讯网络科技有限公司,艾讯网络,15-50人,2018/5/14 15:51,南开区,大专,"移动互联网,信息安全","['人力资源', '市场', '大数据']",全职,4131828,4k-8k,不限
['中北'],天津,谷川联行有限公司,谷川联行,150-500人,2018/5/22 11:37,西青区,不限,电子商务,[],全职,4112904,6k-8k,不限
,天津,天津菲利科电子技术有限公司,菲利科-电子,15-50人,2018/5/15 14:55,南开区,大专,"移动互联网,硬件",[],全职,4016077,5k-9k,3-5年
"['围堤道沿线', '佟楼', '永安道']",天津,上海津城金融信息服务有限公司,上海津城金融信息服务有限公司,15-50人,2018/4/24 17:29,河西区,大专,金融,"['金融', '大数据', '可视化', '业务运营', '数据挖掘']",全职,4259804,7k-10k,1-3年
['鼓楼'],天津,北京昀亭信息科技有限公司,北京数能科技有限公司,15-50人,2018/5/8 14:29,南开区,本科,"数据服务,移动互联网",[],全职,3142442,6k-12k,1-3年
"['安德门', '铁心桥', '安德门', '铁心桥']",南京,南京领添信息技术有限公司,南京领添,500-2000人,2018/5/23 10:17,雨花台区,本科,"移动互联网,电子商务",['电商'],全职,2788007,4k-6k,1-3年
['尧化'],南京,南京浦和数据有限公司,浦和数据,15-50人,2018/5/23 10:01,栖霞区,本科,数据服务,[],全职,3908272,8k-15k,不限
['水西门'],南京,北京东方国信科技股份有限公司,东方国信,2000人以上,2018/5/23 14:12,建邺区,本科,数据服务,[],全职,4615090,10k-20k,1-3年
